platform_label,operating_system,architecture,python_version,runner_image_os,runner_image_version,libjpeg_simd_policy,component,component_role,adapter,adapter_version,implementation_family,reported_backend,build_fingerprint
macos-arm64-default,Darwin,arm64,3.12,macos15,20260715.0234.1,runtime_default,metadata_policy_engine,policy,research-notes,0.14.0,bounded_python_policy,strict audit plus controlled metadata transfer,0fb8c5a803af8b813300233356dad78d2dd2c0af69ca760b8de30060133f5ed9
macos-arm64-default,Darwin,arm64,3.12,macos15,20260715.0234.1,runtime_default,opencv,encoder,OpenCV,4.13.0,libjpeg-turbo,build-libjpeg-turbo (ver 3.1.2-70),8ecd0b582b3149702fc784b50697a4bb99c20152085c729ff1439aad506a4c45
macos-arm64-default,Darwin,arm64,3.12,macos15,20260715.0234.1,runtime_default,pillow,encoder,Pillow,12.3.0,libjpeg-turbo,libjpeg-turbo 3.1.4.1,4bac062292d8403bd2351616a58937be7f2f8bad4c97df641a10b751d8fc64a6
macos-arm64-default,Darwin,arm64,3.12,macos15,20260715.0234.1,runtime_default,pillow_raw,decoder,Pillow,12.3.0,libjpeg-turbo,libjpeg-turbo 3.1.4.1,4bac062292d8403bd2351616a58937be7f2f8bad4c97df641a10b751d8fc64a6
macos-x64-default,Darwin,x86_64,3.12,macos15,20260720.0353.1,runtime_default,metadata_policy_engine,policy,research-notes,0.14.0,bounded_python_policy,strict audit plus controlled metadata transfer,0fb8c5a803af8b813300233356dad78d2dd2c0af69ca760b8de30060133f5ed9
macos-x64-default,Darwin,x86_64,3.12,macos15,20260720.0353.1,runtime_default,opencv,encoder,OpenCV,4.13.0,libjpeg-turbo,build-libjpeg-turbo (ver 3.1.2-70),8ecd0b582b3149702fc784b50697a4bb99c20152085c729ff1439aad506a4c45
macos-x64-default,Darwin,x86_64,3.12,macos15,20260720.0353.1,runtime_default,pillow,encoder,Pillow,12.3.0,libjpeg-turbo,libjpeg-turbo 3.1.4.1,4bac062292d8403bd2351616a58937be7f2f8bad4c97df641a10b751d8fc64a6
macos-x64-default,Darwin,x86_64,3.12,macos15,20260720.0353.1,runtime_default,pillow_raw,decoder,Pillow,12.3.0,libjpeg-turbo,libjpeg-turbo 3.1.4.1,4bac062292d8403bd2351616a58937be7f2f8bad4c97df641a10b751d8fc64a6
ubuntu-x64-default,Linux,x86_64,3.12,ubuntu24,20260720.247.2,runtime_default,metadata_policy_engine,policy,research-notes,0.14.0,bounded_python_policy,strict audit plus controlled metadata transfer,0fb8c5a803af8b813300233356dad78d2dd2c0af69ca760b8de30060133f5ed9
ubuntu-x64-default,Linux,x86_64,3.12,ubuntu24,20260720.247.2,runtime_default,opencv,encoder,OpenCV,4.13.0,libjpeg-turbo,build-libjpeg-turbo (ver 3.1.2-70),8ecd0b582b3149702fc784b50697a4bb99c20152085c729ff1439aad506a4c45
ubuntu-x64-default,Linux,x86_64,3.12,ubuntu24,20260720.247.2,runtime_default,pillow,encoder,Pillow,12.3.0,libjpeg-turbo,libjpeg-turbo 3.1.4.1,4bac062292d8403bd2351616a58937be7f2f8bad4c97df641a10b751d8fc64a6
ubuntu-x64-default,Linux,x86_64,3.12,ubuntu24,20260720.247.2,runtime_default,pillow_raw,decoder,Pillow,12.3.0,libjpeg-turbo,libjpeg-turbo 3.1.4.1,4bac062292d8403bd2351616a58937be7f2f8bad4c97df641a10b751d8fc64a6
ubuntu-x64-scalar,Linux,x86_64,3.12,ubuntu24,20260720.247.2,forced_scalar,metadata_policy_engine,policy,research-notes,0.14.0,bounded_python_policy,strict audit plus controlled metadata transfer,0fb8c5a803af8b813300233356dad78d2dd2c0af69ca760b8de30060133f5ed9
ubuntu-x64-scalar,Linux,x86_64,3.12,ubuntu24,20260720.247.2,forced_scalar,opencv,encoder,OpenCV,4.13.0,libjpeg-turbo,build-libjpeg-turbo (ver 3.1.2-70),8ecd0b582b3149702fc784b50697a4bb99c20152085c729ff1439aad506a4c45
ubuntu-x64-scalar,Linux,x86_64,3.12,ubuntu24,20260720.247.2,forced_scalar,pillow,encoder,Pillow,12.3.0,libjpeg-turbo,libjpeg-turbo 3.1.4.1,4bac062292d8403bd2351616a58937be7f2f8bad4c97df641a10b751d8fc64a6
ubuntu-x64-scalar,Linux,x86_64,3.12,ubuntu24,20260720.247.2,forced_scalar,pillow_raw,decoder,Pillow,12.3.0,libjpeg-turbo,libjpeg-turbo 3.1.4.1,4bac062292d8403bd2351616a58937be7f2f8bad4c97df641a10b751d8fc64a6
windows-x64-default,Windows,amd64,3.12,win25-vs2026,20260714.173.1,runtime_default,metadata_policy_engine,policy,research-notes,0.14.0,bounded_python_policy,strict audit plus controlled metadata transfer,0fb8c5a803af8b813300233356dad78d2dd2c0af69ca760b8de30060133f5ed9
windows-x64-default,Windows,amd64,3.12,win25-vs2026,20260714.173.1,runtime_default,opencv,encoder,OpenCV,4.13.0,libjpeg-turbo,build-libjpeg-turbo (ver 3.1.2-70),8ecd0b582b3149702fc784b50697a4bb99c20152085c729ff1439aad506a4c45
windows-x64-default,Windows,amd64,3.12,win25-vs2026,20260714.173.1,runtime_default,pillow,encoder,Pillow,12.3.0,libjpeg-turbo,libjpeg-turbo 3.1.4.1,4bac062292d8403bd2351616a58937be7f2f8bad4c97df641a10b751d8fc64a6
windows-x64-default,Windows,amd64,3.12,win25-vs2026,20260714.173.1,runtime_default,pillow_raw,decoder,Pillow,12.3.0,libjpeg-turbo,libjpeg-turbo 3.1.4.1,4bac062292d8403bd2351616a58937be7f2f8bad4c97df641a10b751d8fc64a6
